id,first_name,last_name,age,gender,state,party,email,registered_date,last_voted_date,updated_at
VOT001,James,Smith,34,M,CA,Independent,james.smith@email.com,2015-03-15,2024-11-05,2/8/2024 12:03:45
VOT002,Maria,Johnson,45,F,TX,Democrat,maria.johnson@email.com,2008-09-22,2024-11-05,12/31/2023 12:23:38
VOT003,Robert,Williams,67,M,FL,Republican,robert.williams@email.com,1998-01-10,2024-11-05,5/29/2024 23:27:36
VOT004,Linda,Brown,29,F,New York,Independent,linda.brown@email.com,2018-06-30,2022-11-08,11/10/2023 18:52:48
VOT005,Michael,Jones,52,M,PA,Democrat,michael.jones@email.com,2005-04-18,2024-11-05,7/12/2025 13:23:42
VOT006,Sarah,Garcia,38,F,IL,Republican,sarah.garcia@email.com,2012-11-01,2024-11-05,10/2/2024 22:57:04
VOT007,David,Miller,41,M,OH,Independent,david.miller@email.com,2010-02-28,2024-11-05,7/2/2025 18:56:07
VOT008,Jennifer,Davis,55,F,MI,Democrat,jennifer.davis@email.com,2001-07-14,2022-11-08,1/24/2025 13:03:06
VOT009,William,Rodriguez,33,M,NC,Republican,,2016-09-05,2024-11-05,8/8/2025 14:25:55
VOT010,Patricia,Martinez,48,F,GA,Independent,patricia.martinez@email.com,2007-12-20,2024-11-05,10/9/2024 8:20:11
VOT011,Christopher,Hernandez,26,M,VA,Democrat,christopher.hernandez@email.com,2020-01-15,2024-11-05,10/22/2023 5:04:03
VOT012,,,61,F,WA,Republican,barbara.lopez@email.com,1995-05-08,2022-11-08,7/2/2023 8:21:30
VOT013,Daniel,Gonzalez,37,M,AZ,Independent,daniel.gonzalez@email.com,2013-08-25,2024-11-05,8/3/2025 7:09:07
VOT014,Nancy,Wilson,44,F,MA,Democrat,nancy.wilson@email.com,2009-03-12,2024-11-05,5/15/2025 16:55:25
VOT015,Matthew,Anderson,50,M,,Republican,matthew.anderson@email.com,2004-10-30,2024-11-05,2/23/2025 18:57:15
